athlete_id,firstname,lastname,age,gender,country,height,arm_span,paraclimbing_sport_class,birthday
24,Kevin,BARTKE,38.0,male,GER,182.0,,Partial-arm / Partial-armed Climbing: AU2,1985-10-21
14,Korbinian,FRANCK,35.0,male,GER,,,"Limited Range, Power & Stability 1: RP1",1989-09-02
20,Dominik,HLAWNA,32.0,male,GER,,,,1992-08-25
7,Martin,SCHLAGETER,58.0,male,GER,178.0,182.0,,1966-03-15
3,Markus,ZÖLL,56.0,male,GER,,,,1968-06-17
26,Mariana,FÜTTERER,37.0,female,GER,,,,1986-10-21
19,Benjamin,BOSCHERT,39.0,male,GER,,,,1985-06-01
11,Andreas,ENGELHARD,61.0,male,GER,,,,1963-05-07
22,Urs,STÖCKER,48.0,male,GER,,,,1976-09-12
5,Philipp,HROZEK,42.0,male,GER,188.0,190.0,"Limited Range, Power & Stability 2: RP2",1982-01-13
31,Alexandre,MINAEV,56.0,male,RUS,,,,1968-04-09
30,Alexei,KOZLOV,,male,RUS,,,,
25,Moritz,NEUBAUER,45.0,male,GER,,,,1979-04-24
29,Martin,VEITH,41.0,male,GER,,,,1982-10-06
2,Maxi,KLAUS,52.0,male,GER,,,,1972-08-04
28,Jacqueline,FRITZ,39.0,female,GER,,,Single-leg/ Single-legged Climbing: AL2,1985-03-06
21,Florian,SINGER,25.0,male,GER,,,"Limited Range, Power & Stability 2: RP2",1998-10-18
10,Ludwig,KORB,58.0,male,GER,,,,1966-07-24
9,Philipp,ABELS,38.0,male,GER,,,,1986-04-19
23,Sebastian,DEPKE,39.0,male,GER,145.0,170.0,"Limited Range, Power & Stability 1: RP1",1985-07-03
16,Marcel,RICHTER,36.0,male,GER,150.0,,"Limited Range, Power & Stability 1: RP1",1988-07-11
12,Michael,FÜCHSLE,57.0,male,GER,,,"Limited Range, Power & Stability 2: RP2",1966-12-28
18,Matthias,KELLER,51.0,male,GER,,,,1973-07-13
15,Christoph,REICHERT,50.0,male,GER,,,,1974-07-15
17,Friederike,TAUTZ,32.0,female,GER,,,,1992-02-29
6,Thomas,MEIER,65.0,male,GER,,,Single-leg/ Single-legged Climbing: AL2,1959-07-12
4,Udo,NEUMANN,61.0,male,GRE,,,,1963-04-06
27,Nicholas,PERRETH,39.0,male,GER,183.0,191.0,Single-leg/ Single-legged Climbing: AL2,1984-11-29
8,Christopher,SMOLKOVIC,39.0,male,GER,,,,1985-07-02
32,Alexei,SHALYGIN,,male,RUS,,,,
33,Alexander,SISINTSEV,53.0,male,RUS,,,,1971-06-30
50,Tatiana,SHEMULINKINA ,37.0,female,RUS,,,,1987-07-27
37,Jury,KRASILNIKOV,,male,RUS,,,,
13,Friederike,KOPS,41.0,female,GER,,,,1983-05-24
45,Valentina,YURINA,39.0,female,RUS,,,,1985-05-25
54,Anatoly,SKRIPOV,37.0,male,RUS,,,,1987-09-02
53,Dmitrii,SHARAFUTDINOV,38.0,male,RUS,,,,1986-09-16
48,Sergei,SINITCYN,41.0,male,RUS,,,,1983-06-04
39,Mayya,PIRATINSKAYA,47.0,female,RUS,,,,1977-04-06
40,Natalia,TITOVA,46.0,female,RUS,,,,1978-09-05
35,Boris,INOZEMZEV,57.0,male,RUS,,,,1967-09-04
36,Dmitrii,BYCHKOV,46.0,male,RUS,,,,1978-06-09
63,Kseniya,POLEKHINA,34.0,female,RUS,,,,1990-02-11
1,Arno,DIMMLER,57.0,male,GER,,,,1967-01-01
43,Yulia,ABRAMCHUK,41.0,female,RUS,,,,1982-10-21
49,Evgeniia,MALAMID,37.0,female,RUS,,,,1987-04-24
44,Olga,IAKOVLEVA,41.0,female,RUS,,,,1983-03-03
51,Alexander,KOSTERIN,38.0,male,RUS,,,,1986-08-13
52,Alexander,PESHEKHONOV,45.0,male,RUS,,,,1979-03-13
46,Anna,STENKOVAYA,39.0,female,RUS,,,,1984-10-10
47,Vasily,KOZLOV,37.0,male,RUS,,,,1987-01-11
59,Alexander,STEPANOV,34.0,male,RUS,,,,1990-04-30
38,Vladimir,NETSVETAEV-DOLGALEV,54.0,male,RUS,,,,1970-04-09
61,Mikhail,CHERNIKOV,39.0,male,RUS,,,,1985-03-21
71,Galina,TERENTEVA,35.0,female,RUS,,,,1989-09-28
41,Olga,BIBIK,48.0,female,RUS,,,,1976-09-26
42,Tatiana,RUYGA,46.0,female,RUS,,,,1978-05-11
73,Anna,TSYGANOVA,31.0,female,RUS,,,,1993-09-06
74,Stanislav,KOKORIN,34.0,male,RUS,,,,1990-01-22
57,Stanislav,LOBZOV,40.0,male,RUS,,,,1984-08-30
75,Ekaterina,NOVITSKAIA,32.0,female,RUS,,,,1992-01-09
56,Evgenii,VAITSEKHOVSKII,38.0,male,RUS,,,,1986-05-12
64,Sergey,ABDRAKHMANOV,34.0,male,RUS,,,,1990-02-02
58,Yana,CHERESHNEVA,35.0,female,RUS,,,,1989-02-09
65,Evgenii,ZAZULIN,33.0,male,RUS,,,,1991-06-14
62,Alina,GAIDAMAKINA,34.0,female,RUS,,,,1990-09-20
55,Ekaterina,KIPRIIANOVA,35.0,female,RUS,,,,1989-08-22
68,Dinara,FAKHRITDINOVA,31.0,female,RUS,152.0,,,1992-11-20
60,Rustam,GELMANOV,36.0,male,RUS,,,,1987-12-06
67,Vadim,TIMONOV,31.0,male,RUS,,,,1992-11-06
76,Artem,SAVELYEV,30.0,male,RUS,,,,1994-08-16
85,Sergei,LUZHETSKII,29.0,male,RUS,,,,1995-08-15
80,Mikhail,KOCHETKOV ,41.0,male,RUS,,,,1983-04-06
83,Georgy,DERKACHEV,33.0,male,RUS,,,,1991-02-06
72,Yury,NOVITSKIY,36.0,male,RUS,,,,1988-06-24
66,Arman,TER-MINASYAN,32.0,male,RUS,,,,1992-01-19
69,Aleksei,SHCHERVIANIN,36.0,male,RUS,,,,1988-06-29
84,Evgenii,KALASHNIKOV ,31.0,male,RUS,,,,1992-12-22
88,Vsevolod,ILINYKH,31.0,male,RUS,,,,1993-09-15
81,Yuliya,LEVOCHKINA ,34.0,female,RUS,,,,1990-03-29
89,Sergei,SKORODUMOV,28.0,male,RUS,,,,1996-05-13
77,Nataliia,STEPANOVA,31.0,female,RUS,,,,1993-09-12
78,Nikita,SUYUSHKIN,30.0,male,RUS,,,,1994-08-03
70,Anna,ZAIKINA,31.0,female,RUS,,,,1993-04-15
101,Roman,KOSTIAKOV,49.0,male,RUS,,,,1975-09-22
97,Daria,MALYSHEVA,28.0,female,RUS,,,,1996-08-16
79,Aleksey,RUBTSOV,36.0,male,RUS,178.0,185.0,,1988-08-05
96,Egor,KRYACHKOV,28.0,male,RUS,,,,1996-02-20
93,Dmitrii,FAKIRIANOV,29.0,male,RUS,171.0,,,1994-11-18
99,Evgeniya,LAPSHINA,27.0,female,RUS,,,,1997-03-22
90,Artem,PETRAKOV,32.0,male,RUS,,,,1991-12-08
82,Mariia,KRASAVINA,34.0,female,RUS,,,,1990-08-03
103,Sergei,BYDTAEV,27.0,male,RUS,,,,1997-06-07
92,Georgy,ARTAMONOV ,27.0,male,RUS,,,,1996-10-27
86,Arsenii,SHEVCHENKO,34.0,male,RUS,,,,1990-05-16
87,Irina,KUZMENKO,29.0,female,RUS,171.0,,,1995-07-08
111,Maksim,DIACHKOV,27.0,male,RUS,,,,1997-07-31
109,Aleksandr,SHIKOV,27.0,male,RUS,,,,1997-04-01
91,Anna,MARGOLINA,28.0,female,RUS,,,,1996-01-03
104,Anna,EMETS,28.0,female,RUS,,,,1996-02-25
98,Vladislav,DEULIN,30.0,male,RUS,,,,1994-05-05
115,Mariia,MUSIENKO,26.0,female,RUS,,,,1998-01-25
112,Daria,KAN,26.0,female,RUS,,,,1998-09-28
116,Vladislav,MYZNIKOV,26.0,male,RUS,,,,1998-02-05
95,Yury,TAKZHANOV,37.0,male,RUS,,,,1987-01-04
123,Sergei,SERGEEV,68.0,male,RUS,176.0,,,1956-06-17
110,Iuliia,KAPLINA,31.0,female,RUS,,,,1993-05-11
